StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
1800/09/05,,French forced to surrender to Malta,Napoleon occupied Malta,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"35.937496, 14.375416",FRA,,
1800/12/05,,Battle of Hohenlinden,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.157399, 11.996552",,,
1801/02/09,,Treaty of Luneville,,Austria,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.592237, 6.492339",,,
1801/03/20,1801/03/21,Second Battle of Aboukir,Battle of Aboukir,Also known as Battle of Alexandria,,,,http://www.napoleonsims.com/timeline/timeline.htm,"31.311424, 30.060334",,,
1801/03/21,,French forces in Egypt capitulate,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,EGY,,,
1801/03/23,,Tsar Paul Murdered,,Alexander succeeds,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1801/04/02,,British attack Copenhagen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"55.676097, 12.568337",GBR,,
1801/07/15,,Napoleon signs Concordat with the Pope,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1802/03/27,,Treaty of Amiens,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA; GBR,,,
1802/08/02,,Napoleon made Consul for Life,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1802/10/15,,France invades Switzerland,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA; CHE,,,
1803/04/20,,France sells Louisianna to United States,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"FRA; 30.984298, -91.962333",USA,,
1803/05/18,,Britain declares war.,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,GBR; FRA,GBR,,
1803/06/01,,Napoleon begins to prepare invasion of Britain,,French take Hanover,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,GBR,,
1804/03/21,,Duc d'Enghien murdered,,Promulgation of the Civil code,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/05/18,,Napoleon proclaimed Emperor,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/05/19,,Marshalate Created,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/12/02,,Napoleon's coronation as Emperor,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/12/14,,Spain declares war on Britain,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,ESP; GBR,,,
1805/04/11,,Britain and Russia ally,,3rd Coalition,,,,http://www.napoleonsims.com/timeline/timeline.htm,GBR; RUS,,,
1805/05/26,,Napoleon crowned King of Italy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,ITA,,,
1805/08/09,,Austria joins 3rd Coalition,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,AUT,,,
1805/10/20,,Battle of Ulm,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.401082, 9.987608",,,
1805/10/21,,Battle of Trafalgar,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.585903, -5.712891",GBR; FRA; ESP,,
1805/11/15,,Napoleon enters Vienna,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.208174, 16.373819",,,
1805/12/02,,Battle of Austerlitz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"42.311754, -73.473168",,,
