StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
1800/06/09,,Battle of Montebello,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/06/14,,Battle of Marengo,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/06/19,,Battle of Hochstadt,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/09/05,,French forced to surrender to Malta,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/12/05,,Battle of Hohenlinden,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1801/02/09,,Treaty of Luneville,,Austria,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1801/03/20,1801/03/21,Second Battle of Aboukir,Battle of Aboukir,Also known as Battle of Alexandria,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1801/03/21,,French forces in Egypt capitulate,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1801/03/23,,Tsar Paul Murdered,,Alexander succeeds,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1801/04/02,,British attack Copenhagen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1801/07/15,,Napoleon signs Concordat with the Pope,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1802/03/27,,Treaty of Amiens,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA; GBR,,,
1802/08/02,,Napoleon made Consul for Life,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1802/10/15,,France invades Switzerland,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1803/04/20,,France sells Louisianna to United States,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1803/05/18,,Britain declares war.,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1803/06/01,,Napoleon begins to prepare invasion of Britain,,French take Hanover,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/03/21,,Duc d'Enghien murdered,,Promulgation of the Civil code,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/05/18,,Napoleon proclaimed Emperpr,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/05/19,,Marshalate Created,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/12/02,,Napoleon's coronation as Emperor,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1804/12/14,,Spain declares war on Britain,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/04/11,,Britain and Russia ally,,3rd Coalition,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/05/26,,Napoleon crowned King of Italy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/08/09,,Austria joins 3rd Coalition,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/10/20,,Battle of Ulm,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/10/21,,Battle of Trafalgar,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/11/15,,Napoleon enters Vienna,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/12/02,,Battle of Austerlitz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805/12/26,,Treaty of Pressburg,,Austria and France,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1805,1809,War of the Third Coalition,,,,,,http://www.historyofwar.org/articles/wars_napoleonic.html,,,,
1806/04/01,,Joseph Bonaparte becomes King of Naples,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1806/06/20,,Louis Bonaparte becomes Kind of Holland,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1806/07/12,,Confederation of the Rhine established,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
